num,name
1,stench
2,drizzle
3,speedboost
4,battlearmor
5,sturdy
6,damp
7,limber
8,sandveil
9,static
10,voltabsorb
11,waterabsorb
12,oblivious
13,cloudnine
14,compoundeyes
15,insomnia
16,colorchange
17,immunity
18,flashfire
19,shielddust
20,owntempo
21,suctioncups
22,intimidate
23,shadowtag
24,roughskin
25,wonderguard
26,levitate
27,effectspore
28,synchronize
29,clearbody
30,naturalcure
31,lightningrod
32,serenegrace
33,swiftswim
34,chlorophyll
35,illuminate
36,trace
37,hugepower
38,poisonpoint
39,innerfocus
40,magmaarmor
41,waterveil
42,magnetpull
43,soundproof
44,raindish
45,sandstream
46,pressure
47,thickfat
48,earlybird
49,flamebody
50,runaway
51,keeneye
52,hypercutter
53,pickup
54,truant
55,hustle
56,cutecharm
57,plus
58,minus
59,forecast
60,stickyhold
61,shedskin
62,guts
63,marvelscale
64,liquidooze
65,overgrow
66,blaze
67,torrent
68,swarm
69,rockhead
70,drought
71,arenatrap
72,vitalspirit
73,whitesmoke
74,purepower
75,shellarmor
76,airlock
77,tangledfeet
78,motordrive
79,rivalry
80,steadfast
81,snowcloak
82,gluttony
83,angerpoint
84,unburden
85,heatproof
86,simple
87,dryskin
88,download
89,ironfist
90,poisonheal
91,adaptability
92,skilllink
93,hydration
94,solarpower
95,quickfeet
96,normalize
97,sniper
98,magicguard
99,noguard
100,stall
101,technician
102,leafguard
103,klutz
104,moldbreaker
105,superluck
106,aftermath
107,anticipation
108,forewarn
109,unaware
110,tintedlens
111,filter
112,slowstart
113,scrappy
114,stormdrain
115,icebody
116,solidrock
117,snowwarning
118,honeygather
119,frisk
120,reckless
121,multitype
122,flowergift
123,baddreams
124,pickpocket
125,sheerforce
126,contrary
127,unnerve
128,defiant
129,defeatist
130,cursedbody
131,healer
132,friendguard
133,weakarmor
134,heavymetal
135,lightmetal
136,multiscale
137,toxicboost
138,flareboost
139,harvest
140,telepathy
141,moody
142,overcoat
143,poisontouch
144,regenerator
145,bigpecks
146,sandrush
147,wonderskin
148,analytic
149,illusion
150,imposter
151,infiltrator
152,mummy
153,moxie
154,justified
155,rattled
156,magicbounce
157,sapsipper
158,prankster
159,sandforce
160,ironbarbs
161,zenmode
162,victorystar
163,turboblaze
164,teravolt
165,aromaveil
166,flowerveil
167,cheekpouch
168,protean
169,furcoat
170,magician
171,bulletproof
172,competitive
173,strongjaw
174,refrigerate
175,sweetveil
176,stancechange
177,galewings
178,megalauncher
179,grasspelt
180,symbiosis
181,toughclaws
182,pixilate
183,gooey
184,aerilate
185,parentalbond
186,darkaura
187,fairyaura
188,aurabreak
189,primordialsea
190,desolateland
191,deltastream
192,stamina
193,wimpout
194,emergencyexit
195,watercompaction
196,merciless
197,shieldsdown
198,stakeout
199,waterbubble
200,steelworker
201,berserk
202,slushrush
203,longreach
204,liquidvoice
205,triage
206,galvanize
207,surgesurfer
208,schooling
209,disguise
210,battlebond
211,powerconstruct
212,corrosion
213,comatose
214,queenlymajesty
215,innardsout
216,dancer
217,battery
218,fluffy
219,dazzling
220,soulheart
221,tanglinghair
222,receiver
223,powerofalchemy
224,beastboost
225,rkssystem
226,electricsurge
227,psychicsurge
228,mistysurge
229,grassysurge
230,fullmetalbody
231,shadowshield
232,prismarmor
233,neuroforce
234,intrepidsword
235,dauntlessshield
236,libero
237,ballfetch
238,cottondown
239,propellertail
240,mirrorarmor
241,gulpmissile
242,stalwart
243,steamengine
244,punkrock
245,sandspit
246,icescales
247,ripen
248,iceface
249,powerspot
250,mimicry
251,screencleaner
252,steelyspirit
253,perishbody
254,wanderingspirit
255,gorillatactics
256,neutralizinggas
257,pastelveil
258,hungerswitch
259,quickdraw
260,unseenfist
261,curiousmedicine
262,transistor
263,dragonsmaw
264,chillingneigh
265,grimneigh
266,asone
267,asone
268,lingeringaroma
269,seedsower
270,thermalexchange
271,angershell
272,purifyingsalt
273,wellbakedbody
274,windrider
275,guarddog
276,rockypayload
277,windpower
278,zerotohero
279,commander
280,electromorphosis
281,protosynthesis
282,quarkdrive
283,goodasgold
284,vesselofruin
285,swordofruin
286,tabletsofruin
287,beadsofruin
288,orichalcumpulse
289,hadronengine
290,opportunist
291,cudchew
292,sharpness
293,supremeoverlord
294,costar
295,toxicdebris
296,armortail
297,eartheater
298,myceliummight
299,hospitality
300,mindseye
301,embodyaspect
302,embodyaspect
303,embodyaspect
304,embodyaspect
305,toxicchain
306,supersweetsyrup
307,terashift
308,terashell
309,teraformzero
310,poisonpuppeteer
